Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT1998;;;Kvinnor;-24;9732
HT1998;;;Kvinnor;25-34;3990
HT1998;;;Kvinnor;35-;2343
HT1998;;;Kvinnor;Total;16065
HT1998;;;Män;-24;10884
HT1998;;;Män;25-34;3331
HT1998;;;Män;35-;975
HT1998;;;Män;Total;15190
HT1998;;;Total;-24;20616
HT1998;;;Total;25-34;7321
HT1998;;;Total;35-;3318
HT1998;;;Total;Total;31255
HT1998;;Agronomexamen;Kvinnor;-24;145
HT1998;;Agronomexamen;Kvinnor;25-34;27
HT1998;;Agronomexamen;Kvinnor;35-;2
HT1998;;Agronomexamen;Kvinnor;Total;174
HT1998;;Agronomexamen;Män;-24;39
HT1998;;Agronomexamen;Män;25-34;8
HT1998;;Agronomexamen;Män;Total;47
HT1998;;Agronomexamen;Total;-24;184
HT1998;;Agronomexamen;Total;25-34;35
HT1998;;Agronomexamen;Total;35-;2
HT1998;;Agronomexamen;Total;Total;221
HT1998;;Apotekarexamen;Kvinnor;-24;54
HT1998;;Apotekarexamen;Kvinnor;25-34;12
HT1998;;Apotekarexamen;Kvinnor;35-;2
HT1998;;Apotekarexamen;Kvinnor;Total;68
HT1998;;Apotekarexamen;Män;-24;27
HT1998;;Apotekarexamen;Män;25-34;3
HT1998;;Apotekarexamen;Män;35-;3
HT1998;;Apotekarexamen;Män;Total;33
HT1998;;Apotekarexamen;Total;-24;81
HT1998;;Apotekarexamen;Total;25-34;15
HT1998;;Apotekarexamen;Total;35-;5
HT1998;;Apotekarexamen;Total;Total;101
HT1998;;Arbetsterapeutexamen;Kvinnor;-24;114
HT1998;;Arbetsterapeutexamen;Kvinnor;25-34;75
HT1998;;Arbetsterapeutexamen;Kvinnor;35-;47
HT1998;;Arbetsterapeutexamen;Kvinnor;Total;236
HT1998;;Arbetsterapeutexamen;Män;-24;9
HT1998;;Arbetsterapeutexamen;Män;25-34;8
HT1998;;Arbetsterapeutexamen;Män;35-;3
HT1998;;Arbetsterapeutexamen;Män;Total;20
HT1998;;Arbetsterapeutexamen;Total;-24;123
HT1998;;Arbetsterapeutexamen;Total;25-34;83
HT1998;;Arbetsterapeutexamen;Total;35-;50
HT1998;;Arbetsterapeutexamen;Total;Total;256
HT1998;;Arkitektexamen;Kvinnor;-24;112
HT1998;;Arkitektexamen;Kvinnor;25-34;29
HT1998;;Arkitektexamen;Kvinnor;35-;7
HT1998;;Arkitektexamen;Kvinnor;Total;148
HT1998;;Arkitektexamen;Män;-24;83
HT1998;;Arkitektexamen;Män;25-34;29
HT1998;;Arkitektexamen;Män;35-;4
HT1998;;Arkitektexamen;Män;Total;116
HT1998;;Arkitektexamen;Total;-24;195
HT1998;;Arkitektexamen;Total;25-34;58
HT1998;;Arkitektexamen;Total;35-;11
HT1998;;Arkitektexamen;Total;Total;264
HT1998;;Barn- och ungdomspedagogisk examen;Kvinnor;-24;978
HT1998;;Barn- och ungdomspedagogisk examen;Kvinnor;25-34;338
HT1998;;Barn- och ungdomspedagogisk examen;Kvinnor;35-;165
HT1998;;Barn- och ungdomspedagogisk examen;Kvinnor;Total;1481
HT1998;;Barn- och ungdomspedagogisk examen;Män;-24;182
HT1998;;Barn- och ungdomspedagogisk examen;Män;25-34;81
HT1998;;Barn- och ungdomspedagogisk examen;Män;35-;14
HT1998;;Barn- och ungdomspedagogisk examen;Män;Total;277
HT1998;;Barn- och ungdomspedagogisk examen;Total;-24;1160
HT1998;;Barn- och ungdomspedagogisk examen;Total;25-34;419
HT1998;;Barn- och ungdomspedagogisk examen;Total;35-;179
HT1998;;Barn- och ungdomspedagogisk examen;Total;Total;1758
HT1998;;Barnmorskeexamen;Kvinnor;-24;6
HT1998;;Barnmorskeexamen;Kvinnor;25-34;60
HT1998;;Barnmorskeexamen;Kvinnor;35-;21
HT1998;;Barnmorskeexamen;Kvinnor;Total;87
HT1998;;Barnmorskeexamen;Total;-24;6
HT1998;;Barnmorskeexamen;Total;25-34;60
HT1998;;Barnmorskeexamen;Total;35-;21
HT1998;;Barnmorskeexamen;Total;Total;87
HT1998;;Bildlärarexamen;Kvinnor;-24;19
HT1998;;Bildlärarexamen;Kvinnor;25-34;22
HT1998;;Bildlärarexamen;Kvinnor;35-;8
HT1998;;Bildlärarexamen;Kvinnor;Total;49
HT1998;;Bildlärarexamen;Män;-24;7
HT1998;;Bildlärarexamen;Män;25-34;8
HT1998;;Bildlärarexamen;Män;35-;1
HT1998;;Bildlärarexamen;Män;Total;16
HT1998;;Bildlärarexamen;Total;-24;26
HT1998;;Bildlärarexamen;Total;25-34;30
HT1998;;Bildlärarexamen;Total;35-;9
HT1998;;Bildlärarexamen;Total;Total;65
HT1998;;Brandingenjörsexamen;Kvinnor;-24;9
HT1998;;Brandingenjörsexamen;Kvinnor;25-34;1
HT1998;;Brandingenjörsexamen;Kvinnor;Total;10
HT1998;;Brandingenjörsexamen;Män;-24;17
