Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2002;;;Kvinnor;-24;11333
HT2002;;;Kvinnor;25-34;5613
HT2002;;;Kvinnor;35-;4400
HT2002;;;Kvinnor;Total;21346
HT2002;;;Män;-24;10677
HT2002;;;Män;25-34;2942
HT2002;;;Män;35-;1247
HT2002;;;Män;Total;14866
HT2002;;;Total;-24;22010
HT2002;;;Total;25-34;8555
HT2002;;;Total;35-;5647
HT2002;;;Total;Total;36212
HT2002;;Agronomexamen;Kvinnor;-24;76
HT2002;;Agronomexamen;Kvinnor;25-34;21
HT2002;;Agronomexamen;Kvinnor;35-;2
HT2002;;Agronomexamen;Kvinnor;Total;99
HT2002;;Agronomexamen;Män;-24;21
HT2002;;Agronomexamen;Män;25-34;8
HT2002;;Agronomexamen;Män;35-;1
HT2002;;Agronomexamen;Män;Total;30
HT2002;;Agronomexamen;Total;-24;97
HT2002;;Agronomexamen;Total;25-34;29
HT2002;;Agronomexamen;Total;35-;3
HT2002;;Agronomexamen;Total;Total;129
HT2002;;Apotekarexamen;Kvinnor;-24;101
HT2002;;Apotekarexamen;Kvinnor;25-34;13
HT2002;;Apotekarexamen;Kvinnor;35-;8
HT2002;;Apotekarexamen;Kvinnor;Total;122
HT2002;;Apotekarexamen;Män;-24;29
HT2002;;Apotekarexamen;Män;25-34;2
HT2002;;Apotekarexamen;Män;35-;3
HT2002;;Apotekarexamen;Män;Total;34
HT2002;;Apotekarexamen;Total;-24;130
HT2002;;Apotekarexamen;Total;25-34;15
HT2002;;Apotekarexamen;Total;35-;11
HT2002;;Apotekarexamen;Total;Total;156
HT2002;;Arbetsterapeutexamen;Kvinnor;-24;139
HT2002;;Arbetsterapeutexamen;Kvinnor;25-34;68
HT2002;;Arbetsterapeutexamen;Kvinnor;35-;69
HT2002;;Arbetsterapeutexamen;Kvinnor;Total;276
HT2002;;Arbetsterapeutexamen;Män;-24;17
HT2002;;Arbetsterapeutexamen;Män;25-34;8
HT2002;;Arbetsterapeutexamen;Män;35-;11
HT2002;;Arbetsterapeutexamen;Män;Total;36
HT2002;;Arbetsterapeutexamen;Total;-24;156
HT2002;;Arbetsterapeutexamen;Total;25-34;76
HT2002;;Arbetsterapeutexamen;Total;35-;80
HT2002;;Arbetsterapeutexamen;Total;Total;312
HT2002;;Arkitektexamen;Kvinnor;-24;126
HT2002;;Arkitektexamen;Kvinnor;25-34;39
HT2002;;Arkitektexamen;Kvinnor;35-;10
HT2002;;Arkitektexamen;Kvinnor;Total;175
HT2002;;Arkitektexamen;Män;-24;75
HT2002;;Arkitektexamen;Män;25-34;36
HT2002;;Arkitektexamen;Män;35-;8
HT2002;;Arkitektexamen;Män;Total;119
HT2002;;Arkitektexamen;Total;-24;201
HT2002;;Arkitektexamen;Total;25-34;75
HT2002;;Arkitektexamen;Total;35-;18
HT2002;;Arkitektexamen;Total;Total;294
HT2002;;Audionomexamen;Kvinnor;-24;32
HT2002;;Audionomexamen;Kvinnor;25-34;19
HT2002;;Audionomexamen;Kvinnor;35-;9
HT2002;;Audionomexamen;Kvinnor;Total;60
HT2002;;Audionomexamen;Män;-24;2
HT2002;;Audionomexamen;Män;25-34;3
HT2002;;Audionomexamen;Män;Total;5
HT2002;;Audionomexamen;Total;-24;34
HT2002;;Audionomexamen;Total;25-34;22
HT2002;;Audionomexamen;Total;35-;9
HT2002;;Audionomexamen;Total;Total;65
HT2002;;Barnmorskeexamen;Kvinnor;-24;5
HT2002;;Barnmorskeexamen;Kvinnor;25-34;96
HT2002;;Barnmorskeexamen;Kvinnor;35-;37
HT2002;;Barnmorskeexamen;Kvinnor;Total;138
HT2002;;Barnmorskeexamen;Total;-24;5
HT2002;;Barnmorskeexamen;Total;25-34;96
HT2002;;Barnmorskeexamen;Total;35-;37
HT2002;;Barnmorskeexamen;Total;Total;138
HT2002;;Biomedicinsk analytikerexamen;Kvinnor;-24;172
HT2002;;Biomedicinsk analytikerexamen;Kvinnor;25-34;55
HT2002;;Biomedicinsk analytikerexamen;Kvinnor;35-;34
HT2002;;Biomedicinsk analytikerexamen;Kvinnor;Total;261
HT2002;;Biomedicinsk analytikerexamen;Män;-24;33
HT2002;;Biomedicinsk analytikerexamen;Män;25-34;7
HT2002;;Biomedicinsk analytikerexamen;Män;35-;7
HT2002;;Biomedicinsk analytikerexamen;Män;Total;47
HT2002;;Biomedicinsk analytikerexamen;Total;-24;205
HT2002;;Biomedicinsk analytikerexamen;Total;25-34;62
HT2002;;Biomedicinsk analytikerexamen;Total;35-;41
HT2002;;Biomedicinsk analytikerexamen;Total;Total;308
HT2002;;Brandingenjörsexamen;Kvinnor;-24;10
HT2002;;Brandingenjörsexamen;Kvinnor;25-34;1
HT2002;;Brandingenjörsexamen;Kvinnor;Total;11
HT2002;;Brandingenjörsexamen;Män;-24;25
HT2002;;Brandingenjörsexamen;Män;25-34;16
HT2002;;Brandingenjörsexamen;Män;Total;41
HT2002;;Brandingenjörsexamen;Total;-24;35
HT2002;;Brandingenjörsexamen;Total;25-34;17
HT2002;;Brandingenjörsexamen;Total;Total;52
HT2002;;Civilingenjörsexamen;Kvinnor;-24;1634
HT2002;;Civilingenjörsexamen;Kvinnor;25-34;152
HT2002;;Civilingenjörsexamen;Kvinnor;35-;26
HT2002;;Civilingenjörsexamen;Kvinnor;Total;1812
HT2002;;Civilingenjörsexamen;Män;-24;4785
HT2002;;Civilingenjörsexamen;Män;25-34;458
HT2002;;Civilingenjörsexamen;Män;35-;106
HT2002;;Civilingenjörsexamen;Män;Total;5349
HT2002;;Civilingenjörsexamen;Total;-24;6419
HT2002;;Civilingenjörsexamen;Total;25-34;610
HT2002;;Civilingenjörsexamen;Total;35-;132
HT2002;;Civilingenjörsexamen;Total;Total;7161
HT2002;;Dietistexamen;Kvinnor;-24;20
HT2002;;Dietistexamen;Kvinnor;25-34;18
HT2002;;Dietistexamen;Kvinnor;35-;3
HT2002;;Dietistexamen;Kvinnor;Total;41
HT2002;;Dietistexamen;Män;-24;1
HT2002;;Dietistexamen;Män;25-34;3
HT2002;;Dietistexamen;Män;Total;4
HT2002;;Dietistexamen;Total;-24;21
HT2002;;Dietistexamen;Total;25-34;21
HT2002;;Dietistexamen;Total;35-;3
HT2002;;Dietistexamen;Total;Total;45
HT2002;;Djursjukvårdarexamen;Kvinnor;-24;7
HT2002;;Djursjukvårdarexamen;Kvinnor;25-34;16
HT2002;;Djursjukvårdarexamen;Kvinnor;35-;2
HT2002;;Djursjukvårdarexamen;Kvinnor;Total;25
HT2002;;Djursjukvårdarexamen;Total;-24;7
HT2002;;Djursjukvårdarexamen;Total;25-34;16
HT2002;;Djursjukvårdarexamen;Total;35-;2
HT2002;;Djursjukvårdarexamen;Total;Total;25
HT2002;;Folkhögskollärarexamen;Kvinnor;25-34;6
HT2002;;Folkhögskollärarexamen;Kvinnor;35-;18
HT2002;;Folkhögskollärarexamen;Kvinnor;Total;24
HT2002;;Folkhögskollärarexamen;Män;25-34;4
HT2002;;Folkhögskollärarexamen;Män;35-;19
HT2002;;Folkhögskollärarexamen;Män;Total;23
HT2002;;Folkhögskollärarexamen;Total;25-34;10
HT2002;;Folkhögskollärarexamen;Total;35-;37
HT2002;;Folkhögskollärarexamen;Total;Total;47
HT2002;;Fysioterapeutexamen;Kvinnor;-24;150
HT2002;;Fysioterapeutexamen;Kvinnor;25-34;63
HT2002;;Fysioterapeutexamen;Kvinnor;35-;41
HT2002;;Fysioterapeutexamen;Kvinnor;Total;254
HT2002;;Fysioterapeutexamen;Män;-24;38
HT2002;;Fysioterapeutexamen;Män;25-34;27
HT2002;;Fysioterapeutexamen;Män;35-;11
HT2002;;Fysioterapeutexamen;Män;Total;76
HT2002;;Fysioterapeutexamen;Total;-24;188
HT2002;;Fysioterapeutexamen;Total;25-34;90
HT2002;;Fysioterapeutexamen;Total;35-;52
HT2002;;Fysioterapeutexamen;Total;Total;330
HT2002;;Grundskollärarexamen 4-9;Kvinnor;-24;14
HT2002;;Grundskollärarexamen 4-9;Kvinnor;25-34;71
HT2002;;Grundskollärarexamen 4-9;Kvinnor;35-;58
HT2002;;Grundskollärarexamen 4-9;Kvinnor;Total;143
HT2002;;Grundskollärarexamen 4-9;Män;-24;6
HT2002;;Grundskollärarexamen 4-9;Män;25-34;28
HT2002;;Grundskollärarexamen 4-9;Män;35-;16
HT2002;;Grundskollärarexamen 4-9;Män;Total;50
HT2002;;Grundskollärarexamen 4-9;Total;-24;20
HT2002;;Grundskollärarexamen 4-9;Total;25-34;99
HT2002;;Grundskollärarexamen 4-9;Total;35-;74
HT2002;;Grundskollärarexamen 4-9;Total;Total;193
HT2002;;Gymnasielärarexamen;Kvinnor;-24;31
HT2002;;Gymnasielärarexamen;Kvinnor;25-34;188
HT2002;;Gymnasielärarexamen;Kvinnor;35-;190
HT2002;;Gymnasielärarexamen;Kvinnor;Total;409
HT2002;;Gymnasielärarexamen;Män;-24;21
HT2002;;Gymnasielärarexamen;Män;25-34;138
HT2002;;Gymnasielärarexamen;Män;35-;150
HT2002;;Gymnasielärarexamen;Män;Total;309
HT2002;;Gymnasielärarexamen;Total;-24;52
HT2002;;Gymnasielärarexamen;Total;25-34;326
HT2002;;Gymnasielärarexamen;Total;35-;340
HT2002;;Gymnasielärarexamen;Total;Total;718
HT2002;;Hortonomexamen;Kvinnor;-24;16
HT2002;;Hortonomexamen;Kvinnor;25-34;4
HT2002;;Hortonomexamen;Kvinnor;35-;2
HT2002;;Hortonomexamen;Kvinnor;Total;22
HT2002;;Hortonomexamen;Män;-24;2
HT2002;;Hortonomexamen;Män;25-34;1
HT2002;;Hortonomexamen;Män;35-;1
HT2002;;Hortonomexamen;Män;Total;4
HT2002;;Hortonomexamen;Total;-24;18
HT2002;;Hortonomexamen;Total;25-34;5
HT2002;;Hortonomexamen;Total;35-;3
HT2002;;Hortonomexamen;Total;Total;26
HT2002;;Högskoleingenjörsexamen;Kvinnor;-24;896
HT2002;;Högskoleingenjörsexamen;Kvinnor;25-34;315
HT2002;;Högskoleingenjörsexamen;Kvinnor;35-;108
HT2002;;Högskoleingenjörsexamen;Kvinnor;Total;1319
HT2002;;Högskoleingenjörsexamen;Män;-24;2822
HT2002;;Högskoleingenjörsexamen;Män;25-34;773
HT2002;;Högskoleingenjörsexamen;Män;35-;256
HT2002;;Högskoleingenjörsexamen;Män;Total;3851
HT2002;;Högskoleingenjörsexamen;Total;-24;3718
HT2002;;Högskoleingenjörsexamen;Total;25-34;1088
HT2002;;Högskoleingenjörsexamen;Total;35-;364
HT2002;;Högskoleingenjörsexamen;Total;Total;5170
HT2002;;Juristexamen;Kvinnor;-24;544
HT2002;;Juristexamen;Kvinnor;25-34;119
HT2002;;Juristexamen;Kvinnor;35-;35
HT2002;;Juristexamen;Kvinnor;Total;698
HT2002;;Juristexamen;Män;-24;326
HT2002;;Juristexamen;Män;25-34;111
HT2002;;Juristexamen;Män;35-;25
HT2002;;Juristexamen;Män;Total;462
HT2002;;Juristexamen;Total;-24;870
HT2002;;Juristexamen;Total;25-34;230
HT2002;;Juristexamen;Total;35-;60
HT2002;;Juristexamen;Total;Total;1160
HT2002;;Jägmästarexamen;Kvinnor;-24;23
HT2002;;Jägmästarexamen;Kvinnor;25-34;4
HT2002;;Jägmästarexamen;Kvinnor;Total;27
HT2002;;Jägmästarexamen;Män;-24;54
HT2002;;Jägmästarexamen;Män;25-34;8
HT2002;;Jägmästarexamen;Män;35-;1
HT2002;;Jägmästarexamen;Män;Total;63
HT2002;;Jägmästarexamen;Total;-24;77
HT2002;;Jägmästarexamen;Total;25-34;12
HT2002;;Jägmästarexamen;Total;35-;1
HT2002;;Jägmästarexamen;Total;Total;90
HT2002;;Konstnärlig högskoleexamen konst och design;Kvinnor;-24;16
HT2002;;Konstnärlig högskoleexamen konst och design;Kvinnor;25-34;3
HT2002;;Konstnärlig högskoleexamen konst och design;Kvinnor;Total;19
HT2002;;Konstnärlig högskoleexamen konst och design;Män;-24;11
HT2002;;Konstnärlig högskoleexamen konst och design;Män;25-34;2
HT2002;;Konstnärlig högskoleexamen konst och design;Män;Total;13
HT2002;;Konstnärlig högskoleexamen konst och design;Total;-24;27
HT2002;;Konstnärlig högskoleexamen konst och design;Total;25-34;5
HT2002;;Konstnärlig högskoleexamen konst och design;Total;Total;32
HT2002;;Landskapsarkitektexamen;Kvinnor;-24;59
HT2002;;Landskapsarkitektexamen;Kvinnor;25-34;13
HT2002;;Landskapsarkitektexamen;Kvinnor;35-;3
HT2002;;Landskapsarkitektexamen;Kvinnor;Total;75
HT2002;;Landskapsarkitektexamen;Män;-24;15
HT2002;;Landskapsarkitektexamen;Män;25-34;4
HT2002;;Landskapsarkitektexamen;Män;Total;19
HT2002;;Landskapsarkitektexamen;Total;-24;74
HT2002;;Landskapsarkitektexamen;Total;25-34;17
HT2002;;Landskapsarkitektexamen;Total;35-;3
HT2002;;Landskapsarkitektexamen;Total;Total;94
HT2002;;Landskapsingenjörsexamen;Kvinnor;-24;12
HT2002;;Landskapsingenjörsexamen;Kvinnor;25-34;13
HT2002;;Landskapsingenjörsexamen;Kvinnor;35-;6
HT2002;;Landskapsingenjörsexamen;Kvinnor;Total;31
HT2002;;Landskapsingenjörsexamen;Män;-24;12
HT2002;;Landskapsingenjörsexamen;Män;25-34;7
HT2002;;Landskapsingenjörsexamen;Män;35-;2
HT2002;;Landskapsingenjörsexamen;Män;Total;21
HT2002;;Landskapsingenjörsexamen;Total;-24;24
HT2002;;Landskapsingenjörsexamen;Total;25-34;20
HT2002;;Landskapsingenjörsexamen;Total;35-;8
HT2002;;Landskapsingenjörsexamen;Total;Total;52
HT2002;;Lantmästarexamen;Kvinnor;-24;5
HT2002;;Lantmästarexamen;Kvinnor;25-34;6
HT2002;;Lantmästarexamen;Kvinnor;35-;1
HT2002;;Lantmästarexamen;Kvinnor;Total;12
